timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 14:56:47.6076904 +0300 EAT m=+508.212273101,-0.3842632,-0.4859389,-0.5218703,-92.113014,-19.51393,-2.961468
2022-12-19 14:56:47.7183824 +0300 EAT m=+508.322965101,-0.0036804962,-0.0994944,0.093730055,-11.299924,31.316284,0.92446953
2022-12-19 14:56:47.8125239 +0300 EAT m=+508.417106601,-0.0066023436,-0.06440225,0.08864147,-11.882106,30.819818,0.77917075
2022-12-19 14:56:47.9161076 +0300 EAT m=+508.520690301,-0.16047253,-0.32414785,-0.11669056,-49.150936,24.151964,-0.18846773
2022-12-19 14:56:48.048734 +0300 EAT m=+508.653316701,-0.22442685,-0.26846945,-0.2725265,-57.20309,-1.0887195,-1.5557833
2022-12-19 14:56:48.1297575 +0300 EAT m=+508.734340201,-0.2596535,-0.34731317,-0.31321824,-66.40183,-0.60304934,-1.6768311
2022-12-19 14:56:48.2198245 +0300 EAT m=+508.824407201,-0.21044387,-0.31378418,-0.24538681,-54.71108,2.2079344,-1.2055656
2022-12-19 14:56:48.3180505 +0300 EAT m=+508.922633201,-0.13499065,-0.25354165,-0.109864056,-40.111233,16.584446,-0.29491898
2022-12-19 14:56:48.4289518 +0300 EAT m=+509.033534501,-0.148867,-0.25828046,-0.14939338,-41.255066,9.278045,-0.5805208
2022-12-19 14:56:48.5309487 +0300 EAT m=+509.135531401,-0.36459368,-0.44730774,-0.4874943,-88.206535,-16.06468,-2.7986255
2022-12-19 14:56:48.6249272 +0300 EAT m=+509.229509901,-0.20151307,-0.30610463,-0.23568955,-52.313656,1.8840437,-1.1425387
2022-12-19 14:56:48.7199566 +0300 EAT m=+509.324539301,-0.10987546,-0.21681435,-0.08881821,-32.712376,13.689632,-0.20492154
2022-12-19 14:56:48.8200131 +0300 EAT m=+509.424595801,-0.23904286,-0.3304837,-0.29977438,-59.926144,-4.2041645,-1.5894761
2022-12-19 14:56:48.9218668 +0300 EAT m=+509.526449501,-0.13145956,-0.22866403,-0.12578622,-37.078686,10.153091,-0.46916914
2022-12-19 14:56:49.0215139 +0300 EAT m=+509.626096601,-0.11474722,-0.10199262,-0.12929793,-30.307001,2.6589177,-0.83191055
2022-12-19 14:56:49.1232138 +0300 EAT m=+509.727796501,-0.23450764,-0.24416304,-0.31365335,-56.724583,-10.35252,-1.9300282
2022-12-19 14:56:49.2251368 +0300 EAT m=+509.829719501,-0.2940042,-0.34246835,-0.39154145,-71.29424,-12.448982,-2.3002598
2022-12-19 14:56:49.3236825 +0300 EAT m=+509.928265201,-0.2133595,-0.28917435,-0.23431827,-56.995754,6.8659115,-1.2098768
2022-12-19 14:56:49.4253944 +0300 EAT m=+510.029977101,-0.059134234,-0.14315104,-0.004201422,-22.206167,21.28378,0.26471528
2022-12-19 14:56:49.5441661 +0300 EAT m=+510.148748801,-0.15012509,-0.20586845,-0.17022978,-39.538315,3.1195946,-0.8806049
2022-12-19 14:56:49.6324407 +0300 EAT m=+510.237023401,-0.046950173,-0.12335904,-0.010418967,-16.883385,14.634153,0.1908242
2022-12-19 14:56:49.7278892 +0300 EAT m=+510.332471901,-0.08038719,-0.18707347,-0.034364037,-27.163734,19.785479,0.14270195
2022-12-19 14:56:49.8314502 +0300 EAT m=+510.436032901,-0.37043706,-0.50611585,-0.48870024,-90.3174,-14.225204,-2.6452365
2022-12-19 14:56:49.9363702 +0300 EAT m=+510.540952901,-0.108486414,-0.15298836,-0.088855,-32.176464,13.16153,-0.3915829
2022-12-19 14:56:50.05346 +0300 EAT m=+510.658042701,-0.03325385,-0.10115403,0.036449566,-16.582926,24.357534,0.47406447
2022-12-19 14:56:50.1372107 +0300 EAT m=+510.741793401,-0.19997084,-0.2769727,-0.23862283,-51.41344,0.3636369,-1.2455413
2022-12-19 14:56:50.237484 +0300 EAT m=+510.842066701,-0.19522657,-0.32984507,-0.20327945,-53.32567,9.818509,-0.83769184
2022-12-19 14:56:50.3355151 +0300 EAT m=+510.940097801,-0.37242857,-0.48183924,-0.5071131,-89.1373,-19.335712,-2.84694
2022-12-19 14:56:50.435775 +0300 EAT m=+511.040357701,-0.49470854,-0.5683317,-0.67977095,-117.75422,-27.63233,-4.036454
2022-12-19 14:56:50.5410664 +0300 EAT m=+511.145649101,-0.29317814,-0.3232853,-0.38529575,-71.63689,-10.766308,-2.3129117
2022-12-19 14:56:50.645007 +0300 EAT m=+511.249589701,-0.16406065,-0.23449908,-0.1564774,-46.327015,12.844302,-0.73314494
2022-12-19 14:56:50.7412503 +0300 EAT m=+511.345833001,-0.19239663,-0.23703618,-0.22435188,-50.018227,2.0281887,-1.2502152
2022-12-19 14:56:50.8384767 +0300 EAT m=+511.443059401,-0.34061587,-0.39954278,-0.453453,-82.61457,-14.371049,-2.6555796
2022-12-19 14:56:50.9420935 +0300 EAT m=+511.546676201,-0.32947788,-0.44689912,-0.40167654,-83.81188,-2.1174178,-2.138136
2022-12-19 14:56:51.041087 +0300 EAT m=+511.645669701,-0.26346728,-0.34486243,-0.32376006,-66.75021,-2.5072563,-1.7642775
2022-12-19 14:56:51.1445371 +0300 EAT m=+511.749119801,-0.24290968,-0.28316244,-0.29290757,-62.13178,-0.5177389,-1.6919062
2022-12-19 14:56:51.2434261 +0300 EAT m=+511.848008801,-0.28074768,-0.3470745,-0.33729774,-71.94046,-0.20864992,-1.8882512
2022-12-19 14:56:51.3439379 +0300 EAT m=+511.948520601,-0.22970918,-0.26253074,-0.25086322,-61.512184,7.8547435,-1.4378985
2022-12-19 14:56:51.4465244 +0300 EAT m=+512.051107101,-0.19442564,-0.218985,-0.21860334,-51.401947,4.645921,-1.2692479
2022-12-19 14:56:51.5574256 +0300 EAT m=+512.162008301,-0.031895213,-0.06409589,0.056100056,-18.136026,30.121115,0.5006635
2022-12-19 14:56:51.6485529 +0300 EAT m=+512.253135601,-0.07186021,-0.10058218,-0.027999286,-24.569344,18.57187,-0.051828418
2022-12-19 14:56:51.7488825 +0300 EAT m=+512.353465201,-0.27714604,-0.30922595,-0.3656668,-67.567505,-10.638467,-2.1854813
2022-12-19 14:56:51.8491753 +0300 EAT m=+512.453758001,-0.261121,-0.3538689,-0.28953362,-69.46306,7.520858,-1.4996068
2022-12-19 14:56:51.9501194 +0300 EAT m=+512.554702101,-0.25189307,-0.29570282,-0.3161444,-63.120667,-4.498493,-1.8326721
2022-12-19 14:56:52.0520321 +0300 EAT m=+512.656614801,-0.29048815,-0.38531289,-0.29983893,-79.62382,15.476174,-1.5417407
